"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
745,198,"IPIS","IPIS - Covid19 2020","cafmine00187","Kobé","2020-10-31",0,"Appel telephonique - Covid19","0101000020E6100000812557B1F8AD3040B9533A58FF871A40",16.679576,6.63281,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Bodivo",,150,20,,5,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,33,"IPIS","IPIS - Covid19 2020","cafmine00237","Dock Sala","2020-10-31",0,"Appel telephonique - Covid19","0101000020E61000001A9617854A3D314058D4F912177D1840",17.2394183333,6.1221583333,"GPS","Ouham","Bossangoa","Koro-M'poko","Willy",,10,0,,0,,"Or",0,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
747,191,"IPIS","IPIS - Covid19 2020","cafmine00181","Taféh","2020-11-01",0,"Appel telephonique - Covid19","0101000020E61000007F33315D885D3040844BC79C677C1940",16.365362,6.371489,"Approximation","Ouham-Pendé","Bozoum","Kouazo","Bohélé",,200,75,,50,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,192,"IPIS","IPIS - Covid19 2020","cafmine00182","Nzakagawa","2020-11-01",0,"Appel telephonique - Covid19","0101000020E6100000779FE3A3C56D3040BEBF417BF5F11940",16.428797,6.486288,"Approximation","Ouham-Pendé","Bozoum","Kouazo","Balua",,100,40,,45,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,38,"IPIS","IPIS - Covid19 2020","cafmine00285","Sipi","2020-11-01",0,"Appel telephonique - Covid19","0101000020E610000091A2E52F1A1F2F40877C69ACEA821440",15.5607466667,5.1278483333,"GPS","Nana-Mambéré","Abba","Nadziboro","Ndongué",,250,50,,20,,"Diamant, Or",1,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
750,1,"IPIS","IPIS - Covid19 2020","cafmine00011","Sadou","2020-11-02",0,"Appel telephonique - Covid19","0101000020E61000008A8EE4F21F622F40153AAFB14B341B40",15.69165,6.80107,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Boléré",,50,20,,10,,"Or",0,1,0,,,,,,,,"groupe_arme","3R","aleatoire",1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
751,29,"IPIS","IPIS - Covid19 2020","cafmine00286","Gbin-Mboussa","2020-11-02",0,"Appel telephonique - Covid19","0101000020E6100000AE0FEB8D5AD92E40D50627A25F8B1440",15.424519,5.136107,"Approximation","Nana-Mambéré","Abba","Nadziboro","Abo",,200,50,,10,,"Diamant, Or",1,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
752,28,"IPIS","IPIS - Covid19 2020","cafmine00287","Gbin-Mboussa 2","2020-11-02",0,"Appel telephonique - Covid19","0101000020E6100000CFF04FBA07DB2E40606847CCD9881440",15.4277933333,5.1336433333,"GPS","Nana-Mambéré","Abba","Nadziboro","Abo",,150,30,,0,,"Diamant, Or",1,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
753,120,"IPIS","IPIS - Covid19 2020","cafmine00288","Mambéré Abo","2020-11-02",0,"Appel telephonique - Covid19","0101000020E61000001385ADC8D5CD2E400E4A9869FB971440",15.4020216667,5.14842,"GPS","Nana-Mambéré","Abba","Nadziboro","Abo",,250,60,,20,,"Diamant, Or",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,221,"IPIS","IPIS - Covid19 2020","cafmine00230","Dengue Yoho","2020-11-03",0,"Appel telephonique - Covid19","0101000020E61000001E45C51354373140520ABABDA4611840",17.2161266667,6.095355,"GPS","Ouham","Bossangoa","Koro-M'poko","Yoho",,8,0,,0,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
